Model,Test_RMSE
Cat_Boost_Regressor,0.11117879303163147
Gradient_Boosting_Regressor,0.1124651045535309
ridge,0.11374108224681481
XGB_Regressor,0.11744867898284413
Linear_Regression,0.11867468179759248
LGBM_Regressor,0.11920603090913559
Random_Forest_Regressor,0.1311599005007254
