iter	RMSE
0	0.3723521512
1	0.3439762868
2	0.3187640411
3	0.2953753554
4	0.2750249665
5	0.2561656001
6	0.2392506213
7	0.2244531328
8	0.2110729688
9	0.198959985
10	0.187659036
11	0.1774068543
12	0.168294724
13	0.1602640853
14	0.1530027941
15	0.1465247817
16	0.1410553256
17	0.1355875278
18	0.1305375137
19	0.1260872664
20	0.1218070508
21	0.1182426807
22	0.1147163777
23	0.1114274598
24	0.1082039604
25	0.1055716923
26	0.1029489469
27	0.1007247478
28	0.09872394034
29	0.0965951253
30	0.09482658033
31	0.09313836344
32	0.09165813558
33	0.08992606597
34	0.08843114098
35	0.08700411974
36	0.08573671917
37	0.08438409619
38	0.08334781791
39	0.0822936179
40	0.08128304031
41	0.08024782072
42	0.07912877088
43	0.07842769633
44	0.07776096067
45	0.07680345011
46	0.07601994938
47	0.07515148396
48	0.07439815528
49	0.07378492483
50	0.07311358827
51	0.07253632041
52	0.07189830417
53	0.0714478469
54	0.07097504727
55	0.07028552359
56	0.06968286668
57	0.06901054774
58	0.06859349315
59	0.06813108329
60	0.06769752566
61	0.06716302787
62	0.06668459731
63	0.06614186977
64	0.06540318651
65	0.0647641946
66	0.06424719069
67	0.0639197034
68	0.06298766631
69	0.06271787868
70	0.06229037916
71	0.06167852213
72	0.06113662967
73	0.0605705268
74	0.06001681106
75	0.05970383131
76	0.05941378397
77	0.05890403544
78	0.05833954736
79	0.05786138065
80	0.05762773543
81	0.05725041554
82	0.05692519107
83	0.05641831466
84	0.05600414188
85	0.05562184
86	0.05504338966
87	0.05475351219
88	0.05442863469
89	0.05407457989
90	0.05371340493
91	0.05351521173
92	0.05324405913
93	0.05304954794
94	0.05280996077
95	0.05249673472
96	0.05208761133
97	0.05178356413
98	0.05155095022
99	0.0512035397
100	0.05091476646
101	0.05054848333
102	0.0501396548
103	0.04974090364
104	0.0495137798
105	0.04914608529
106	0.04881271821
107	0.04845401217
108	0.04823188718
109	0.04780221445
110	0.04732707815
111	0.0469670598
112	0.04651479349
113	0.04613127247
114	0.04587721545
115	0.04546571083
116	0.04528999929
117	0.04495721381
118	0.04475360009
119	0.04438003073
120	0.04421000784
121	0.04386952248
122	0.04347076558
123	0.04308459274
124	0.04265214528
125	0.04230229029
126	0.04194810183
127	0.04175520493
128	0.04135260085
129	0.04108115634
130	0.04060338202
131	0.04030198864
132	0.04008657203
133	0.03981118381
134	0.03932662651
135	0.03919933136
136	0.03893611758
137	0.03870451344
138	0.03844328067
139	0.03817539689
140	0.03805004636
141	0.03789374517
142	0.03765948659
143	0.03744604602
144	0.03718300233
145	0.03690161343
146	0.03652357751
147	0.03614628466
148	0.03592390825
149	0.03574480448
150	0.03547651723
151	0.0351920747
152	0.03490444708
153	0.03458521232
154	0.03438744863
155	0.03420125509
156	0.03403231101
157	0.03391578491
158	0.03375383531
159	0.03351833483
160	0.0332889594
161	0.03303449527
162	0.03268239998
163	0.03246916956
164	0.03230433293
165	0.03207122902
166	0.03181981513
167	0.03162092684
168	0.03145414361
169	0.03093619833
170	0.03070643207
171	0.03046177197
172	0.03027325013
173	0.03004874409
174	0.02969879958
175	0.02954160916
176	0.02941269304
177	0.02921320509
178	0.02910731413
179	0.02884077838
180	0.02870481868
181	0.02854408575
182	0.02836193248
183	0.02823410393
184	0.02811263749
185	0.02785098971
186	0.02763000866
187	0.027531265718188	0.027317159218189	0.027160443419190	0.026985020191191	0.026727135192192	0.026609689193193	0.026386346194194	0.026170782195195	0.026024349196	0.02562975679
197197	0.025808464198198	0.025585053199199	0.025382893200200	0.025185028201201	0.02500585920202	0.024887872820203	0.024685145920204	0.024498153020205	0.02429827646
206	0.0240665848
207	0.02390053198
208	0.02380294334
209	0.02365422599
210	0.02353838907
211	0.02325977071
212	0.02318683738
213	0.02298110957
214	0.02272252742
215	0.02258465352
216	0.022486853217217	0.02235406124
218	0.02212782034
219	0.02198961661
220	0.02188694221	221	0.02178251222	222	0.02162453223	223	0.0215143272
224	0.02125561147
225	0.02105123441
226	0.02085676884
227	0.02073469302
228	0.02050012158
229	0.02038550126
230	0.02028231908
231	0.02007236139
232	0.01988791803
233	0.0197630539
234	0.01958910839
235	0.01950597242
236	0.0192920878
237	0.01917402156
238	0.01903668054
239	0.01881400346
240	0.01868970701
241	0.01862054278
242	0.01849044095
243	0.01842184691
244	0.01837163617
245	0.01827470116
246	0.01810972433
247	0.01802206473
248	0.017879585
249	0.01779676735
250	0.01771413744
251	0.01761613423
252	0.01757848166
253	0.01741697986
254	0.01734994709
255	0.017238395132256	0.017063235412257	0.016935357052258	0.016798425272259	0.01671330093260	0.01612474148
261	0.01601294508
262	0.01589645912
263	0.01575240097
264	0.01569401528
265	0.01561454783
266	0.01542862081
267	0.01526310177
268	0.01516441565
269	0.01502332595
270	0.01495050434
271	0.01485527479
272	0.01473031493
273	0.01462556821
274	0.01459712819
275	0.0144483283
27276	0.0148062915277	0.01421982847
27278	0.0146232348279	0.01399682014
280	0.01386669953
281	0.01375315644
282	0.01363062065
283	0.01356131681
284	0.01350707007
285	0.01341275303
286	0.01331949986
28287	0.013903657328288	0.01386028372289	0.013818810352290	0.013666100062291	0.01356237286292	0.01275419227
293	0.01268837883
294	0.0126382279
295	0.01253870565
296	0.0124677029
297	0.01241533505
298	0.01234973792
299	0.01229384164
300	0.01218794651
301	0.01216297356
302	0.012091642
303	0.01199007512
304	0.01190074866
305	0.01180315549
306	0.0117257799
307	0.01163812753
308	0.01154147929
309	0.01146597764
310	0.01135901576
311	0.01129559663
312	0.01123832005
313	0.01117724401
314	0.01109045794
315	0.01105187876
316	0.01100115091
317	0.01094097914
318	0.01087708109
319	0.01083071334
320	0.01076160898
321	0.01066940531
322	0.01058486337
323	0.01049122912
324	0.01041858542
325	0.01040532353
326	0.0103565072
327	0.01032651715
328	0.01026978201
329	0.01021669715
330	0.01016240056
331	0.0100997539
332	0.01005801398
333	0.009931759788
334	0.009883937075
335	0.009850532427
336	0.009796697958
337	0.009713834427
338	0.009659818878
339	0.009600339992
340	0.009553780576
341	0.009535361183
342	0.009478431983
343	0.009404473725
344	0.00934958237
345	0.009289752617
346	0.009238741669
347	0.009185136583
348	0.009130826066
349	0.009070746505
350	0.009011155603
351	0.00894459968
352	0.008899360744
353	0.008848303972
354	0.008807394565
355	0.008748071657
356	0.008698028407
357	0.008651731702
358	0.008607530781
359	0.008574396255
360	0.008523392934
361	0.008492524112
362	0.008441993001
363	0.008388441562
364	0.008325897666
365	0.00827386956
366	0.008258093528
367	0.008194299506
368	0.008124041408
369	0.00806036551
370	0.008004459963
371	0.00796979959
372	0.00794380402
373	0.007864448132
374	0.007821624426
375	0.007791452117
376	0.007750360087
377	0.007698871275
378	0.007642248668
379	0.007554346207
380	0.007498841968
381	0.007476303513
382	0.007446505206
383	0.007390710685
384	0.007342438768
385	0.007294084053
386	0.007243112756
387	0.007189112389
388	0.007145778042
389	0.00710722972
390	0.007068959833
391	0.007032203801
392	0.00698525846
393	0.006903682361
394	0.00687184768
395	0.00683257867
396	0.006804622839
397	0.006756913747
398	0.006731237571
399	0.006678475996
400	0.006642094917
401	0.006607434999
402	0.006564257964
403	0.006531632733
404	0.006500500862
405	0.006476059481
406	0.006447564377
407	0.006423787781
408	0.006390719911
409	0.006329043454
410	0.006284152111
411	0.006247416077
412	0.006212249072
413	0.006170710057
414	0.006121569496
415	0.006089066984
416	0.006064052687
417	0.006014721575
418	0.005956119926
419	0.005906561533
420	0.005867333405
421	0.005844659787
422	0.005787499101
423	0.005748656455
424	0.005730467864
425	0.00569480689
426	0.005664808679
427	0.005641464256
428	0.005596075933
429	0.005565369785
430	0.005527324281
431	0.005506245613
432	0.005462730872
433	0.005433735977
434	0.005407710688
435	0.005391533576
436	0.005371026429
437	0.005344698355
438	0.005307515604
439	0.005279437155
440	0.005253866935
441	0.005241665396
442	0.005206335179
443	0.00517872589
444	0.005155557514
445	0.00514354461
446	0.00510776327
447	0.005076929716
448	0.005055448356
449	0.005015942801
450	0.004971980273
451	0.004943787952
452	0.00492016982
453	0.00490260369
454	0.004882500856
455	0.00485664378
456	0.004826183239
457	0.004798454396
458	0.004788441959
459	0.004766998521
460	0.004736898127
461	0.004712103826
462	0.004683334104
463	0.004665992274
464	0.004650770122
465	0.004626478405
466	0.004597085927
467	0.004554380424
468	0.004531928531
469	0.004517710088
470	0.004480825979
471	0.004470528478
472	0.00443373753
473	0.004415503557
474	0.004393075156
475	0.004375886444
476	0.004354170551
477	0.004330281478
478	0.004301557414
479	0.004287581328
480	0.004263128414
481	0.00424400337
482	0.004234573395483	0.0042130440519484	0.00419464520	0485	0.004178521	0.1486	0.004161741619
487	0.004145828638
488	0.004122184727
489	0.00410103818
490	0.004071015805
491	0.004054082885
492	0.004026081512
493	0.004012844906
494	0.003993423121
495	0.532	0.1173855496	533	0.117299956497	0.003919452044
498	0.00389917692536	0.1170507507
537	500	0.003849538	0.1168543325
539	0.1167639961
540	0.1166879139
541	0.1166053403
542	0.1164877241
543	0.116430008
544	0.1163383458
545	0.1162634364
546	0.1162124508
547	0.1161418708
548	0.116111053
549	0.1160445033
550	0.1159765037
551	0.1159190764
552	0.1158415284
553	0.1157723969
554	0.1157102898
555	0.1156079316
556	0.1155488645
557	0.1154503616
558	0.1153366802
559	0.1152345292
560	0.1151684656
561	0.1151034998
562	0.1149924503
563	0.114903054
564	0.1148243009
565	0.1147611477
566	0.114691167
567	0.1146245129
568	0.1145495401
569	0.1144573581
570	0.1143606002
571	0.114283313
572	0.1142282405
573	0.1141234949
574	0.1140769132
575	0.1140009245
576	0.1139326486
577	0.1138847312
578	0.113733582
579	0.113650981
580	0.1135902902
581	0.1134943932
582	0.1134283833
583	0.1133651648
584	0.1133194203
585	0.1132669469
586	0.1132085121
587	0.1131175664
588	0.1130838249
589	0.1130039932
590	0.1129439176
591	0.1128806928
